customer_id,gender,age,city,education,marital_status,annual_income,credit_score,loan_amount,employment_years,debt_ratio,num_existing_loans,missed_payments,aadhar_number,pan_number,contact_number,loan_approved
CUST1098,Female,45,Chennai,Post-Graduate,Single,133919,679,1456111,30,0.69,8,6,,,,1
CUST1099,Male,60,Delhi,Undergraduate,Married,121985,586,118611,22,0.4,7,7,,,,1
CUST1100,Male,55,Mumbai,Post-Graduate,Divorced,184037,667,176982,12,0.32,1,7,9955 1349 1828,,,1
CUST1101,Male,36,Chennai,Post-Graduate,Married,48010,878,480347,2,0.76,8,3,,,,1
CUST1102,Female,59,Delhi,Graduate,Divorced,15743,583,1850208,4,0.89,8,4,,,,0
CUST1103,Female,21,Delhi,Diploma,Divorced,108911,543,1284914,10,0.11,4,0,,,,0
CUST1104,Male,51,Chennai,Graduate,Divorced,132512,670,1126338,18,0.19,8,3,,,,1
CUST1105,Male,50,Mumbai,Diploma,Divorced,183647,331,177560,15,0.78,6,10,,,,0
CUST1106,Male,26,Chennai,Undergraduate,Single,99439,451,187745,4,0.32,10,9,,,,1
CUST1107,Male,50,Chennai,Post-Graduate,Single,147527,740,257992,25,0.66,10,10,,,,1
CUST1108,Female,47,Pune,Undergraduate,Single,103848,764,886197,13,0.68,5,6,,,,1
CUST1109,Male,25,Delhi,Graduate,Divorced,38914,387,245517,13,0.18,5,12,,,,0
CUST1110,Male,63,Mumbai,Undergraduate,Divorced,47042,720,791548,27,0.63,6,11,,,,1
CUST1111,Male,57,Chennai,Undergraduate,Married,148015,517,374492,21,0.49,1,5,,,,1
CUST1112,Female,48,Chennai,Graduate,Divorced,236552,874,1659422,26,0.6,10,10,,,,1
CUST1113,Male,22,Mumbai,Post-Graduate,Married,62294,579,1523666,24,0.35,5,5,,,,1
CUST1114,Male,25,Bangalore,Undergraduate,Married,52191,331,242429,23,0.52,6,6,,,,0
CUST1115,Male,57,Mumbai,Undergraduate,Single,171296,386,1902502,1,0.22,9,0,,,,0
CUST1116,Male,59,Bangalore,Graduate,Single,130879,724,622872,6,0.7,1,5,,,,1
CUST1117,Male,54,Mumbai,Post-Graduate,Single,189884,615,145247,7,0.42,9,0,,,,1
CUST1118,Female,37,Delhi,Diploma,Divorced,90876,635,301625,0,0.5,6,2,,,,0
CUST1119,Male,25,Chennai,Diploma,Divorced,119089,343,964818,0,0.47,1,5,,,,0
CUST1120,Male,39,Pune,Graduate,Single,45192,714,93739,30,0.36,9,7,,,,1
CUST1121,Female,48,Pune,Post-Graduate,Single,169369,710,1148829,2,0.42,4,11,,,,1
CUST1122,Male,53,Delhi,Post-Graduate,Married,180996,416,1162758,16,0.26,5,5,,,,0
CUST1123,Female,32,Bangalore,Diploma,Divorced,172915,456,1644287,24,0.62,2,12,,,,0
CUST1124,Male,64,Pune,Post-Graduate,Single,246223,878,1398451,20,0.89,5,10,,,,1
CUST1125,Male,61,Bangalore,Diploma,Married,94382,581,1290297,1,0.38,1,4,,,,0
CUST1126,Male,25,Chennai,Graduate,Single,183995,392,1339766,19,0.51,7,9,,,,1
CUST1127,Female,41,Pune,Graduate,Divorced,173598,787,1101443,4,0.87,7,1,,,,1
CUST1128,Male,36,Pune,Undergraduate,Single,200498,748,971534,16,0.52,2,5,,,,1
CUST1129,Male,64,Mumbai,Diploma,Single,171732,353,1705128,20,0.62,1,5,,,,0
CUST1130,Female,42,Bangalore,Post-Graduate,Divorced,36365,896,1441695,4,0.83,4,10,,,,0
CUST1131,Male,40,Chennai,Graduate,Divorced,161518,685,1399503,25,0.36,2,10,,,,1
CUST1132,Male,22,Delhi,Post-Graduate,Married,110052,616,428038,30,0.27,7,3,,,,1
CUST1133,Male,53,Pune,Post-Graduate,Divorced,217080,852,1801373,23,0.81,0,10,,,,1
CUST1134,Female,32,Delhi,Diploma,Divorced,232932,469,1562430,14,0.13,5,10,,,,1
CUST1135,Male,35,Pune,Diploma,Single,154987,544,699001,30,0.75,7,3,,,,1
CUST1136,Male,53,Pune,Graduate,Divorced,153270,728,389860,26,0.26,9,2,,,,1
CUST1137,Male,56,Bangalore,Post-Graduate,Single,41893,828,1835024,3,0.33,2,4,,,,1
CUST1138,Female,49,Delhi,Diploma,Married,246900,657,105931,13,0.14,8,5,,,,1
CUST1139,Male,41,Delhi,Diploma,Single,40974,643,1709645,4,0.21,4,7,,,,1
CUST1140,Male,22,Bangalore,Graduate,Single,82088,520,1801044,4,0.54,9,8,,,,0
CUST1141,Male,24,Bangalore,Graduate,Divorced,77505,729,1389978,25,0.6,1,1,,,,1
CUST1142,Female,30,Delhi,Graduate,Divorced,91355,739,53280,19,0.38,9,6,,,,1
CUST1143,Male,54,Mumbai,Diploma,Single,157627,819,1699226,16,0.54,6,7,,,,1
CUST1144,Male,43,Chennai,Undergraduate,Married,221705,369,773103,7,0.69,10,1,,,,0
CUST1145,Male,62,Bangalore,Graduate,Single,60898,775,1508336,15,0.61,2,1,,,,1
CUST1146,Female,23,Pune,Graduate,Divorced,97731,617,1130837,12,0.89,8,7,,,,0
CUST1147,Male,24,Bangalore,Diploma,Single,241963,639,622976,3,0.74,6,6,,,,1
CUST1148,Male,65,Bangalore,Graduate,Single,145422,676,1988419,25,0.52,1,11,,,,1
CUST1149,Female,55,Bangalore,Diploma,Married,92009,628,265163,2,0.36,4,4,,,,0
CUST1150,Male,49,Bangalore,Undergraduate,Divorced,26103,661,1339437,13,0.32,0,1,7565 3621 1510,ABCDE3339F,,1
CUST1151,Male,23,Chennai,Graduate,Divorced,48090,368,544918,24,0.62,5,6,,,,0
CUST1152,Male,44,Bangalore,Undergraduate,Divorced,112521,754,1650304,2,0.56,8,5,,,,1
CUST1153,Male,22,Pune,Undergraduate,Divorced,207852,490,1096571,16,0.41,8,1,,,,1
CUST1154,Male,65,Bangalore,Graduate,Divorced,143765,504,307189,4,0.78,7,2,,,,0
CUST1155,Male,63,Delhi,Undergraduate,Divorced,106075,366,1203427,17,0.33,4,2,,,,0
CUST1156,Female,29,Chennai,Post-Graduate,Divorced,77058,805,105121,11,0.54,5,7,,,,1
CUST1157,Male,40,Delhi,Undergraduate,Divorced,119375,790,1152463,13,0.72,9,1,,,,1
CUST1158,Male,64,Chennai,Post-Graduate,Married,150622,652,319137,28,0.76,8,10,,,,1
CUST1159,Male,28,Chennai,Undergraduate,Married,150817,456,687795,5,0.23,3,5,,,,0
CUST1160,Male,29,Chennai,Post-Graduate,Married,178845,610,1338549,17,0.17,10,2,,,9873773537,1
CUST1161,Male,57,Delhi,Diploma,Divorced,25798,329,220336,1,0.86,9,4,,,,0
CUST1162,Male,61,Bangalore,Undergraduate,Single,158019,596,1396177,30,0.34,3,12,,,,1
CUST1163,Male,31,Pune,Undergraduate,Divorced,130239,725,1065548,14,0.26,9,2,,,,1
CUST1164,Male,46,Mumbai,Undergraduate,Single,49279,679,1129991,17,0.18,3,7,,,,1
CUST1165,Male,24,Chennai,Undergraduate,Married,91077,693,1862282,19,0.43,2,5,,,,1
CUST1166,Male,53,Chennai,Diploma,Married,137372,810,1893555,9,0.5,1,6,,,,1
CUST1167,Male,24,Bangalore,Undergraduate,Divorced,28248,588,1087868,19,0.81,10,10,,,,0
CUST1168,Male,48,Bangalore,Graduate,Divorced,50110,570,1575694,11,0.71,5,0,,,,0
CUST1169,Male,56,Chennai,Graduate,Married,90655,375,860232,16,0.46,8,4,,,,0
CUST1170,Male,44,Chennai,Diploma,Divorced,223377,647,1219858,30,0.39,2,3,,,,1
CUST1171,Male,29,Chennai,Post-Graduate,Single,202063,641,1736038,15,0.52,2,9,,,,1
CUST1172,Male,31,Bangalore,Undergraduate,Single,118010,606,1295130,10,0.51,8,8,,,,1
CUST1173,Male,42,Chennai,Diploma,Single,191634,412,923548,18,0.35,10,0,,,,1
CUST1174,Female,24,Bangalore,Post-Graduate,Divorced,167967,791,407589,16,0.6,9,12,,,,1
CUST1175,Male,33,Chennai,Diploma,Divorced,19964,751,707860,13,0.22,3,6,,,,1
CUST1176,Female,54,Delhi,Diploma,Divorced,69353,874,731678,21,0.48,6,5,,,,1
CUST1177,Male,64,Chennai,Undergraduate,Married,217372,570,1329423,15,0.25,3,4,,,,1
CUST1178,Male,39,Chennai,Undergraduate,Single,199785,512,1497538,22,0.49,7,5,,,,1
CUST1179,Male,46,Mumbai,Undergraduate,Single,229532,653,1671233,25,0.22,0,4,,,,1
CUST1180,Male,34,Mumbai,Post-Graduate,Married,67970,851,618606,29,0.55,4,2,,,,1
CUST1181,Female,61,Delhi,Graduate,Divorced,76036,353,260130,13,0.36,7,1,,,,0
CUST1182,Female,47,Pune,Graduate,Married,186151,787,1051282,20,0.26,4,5,,,,1
CUST1183,Female,55,Bangalore,Diploma,Married,208642,338,1965181,29,0.24,2,0,,,,1
CUST1184,Male,23,Bangalore,Diploma,Married,17429,605,1241102,19,0.19,5,4,,,,1
CUST1185,Male,38,Delhi,Graduate,Divorced,65544,415,743494,5,0.68,10,4,,,,0
CUST1186,Male,57,Chennai,Undergraduate,Married,191790,497,418039,19,0.78,6,6,,,,0
CUST1187,Male,32,Delhi,Diploma,Single,51860,788,728641,29,0.3,4,6,,,,1
CUST1188,Male,58,Mumbai,Diploma,Single,204499,886,73982,8,0.62,3,0,,,,1
CUST1189,Male,65,Delhi,Diploma,Divorced,45779,602,820795,19,0.28,2,7,,,,1
CUST1190,Male,47,Delhi,Graduate,Divorced,199009,862,1964273,15,0.71,10,3,,,,1
CUST1191,Male,25,Chennai,Post-Graduate,Married,162893,414,179516,26,0.54,8,3,,,,0
CUST1192,Male,28,Mumbai,Diploma,Married,193335,510,1553485,18,0.49,8,7,,,,1
CUST1193,Male,57,Pune,Graduate,Divorced,30135,872,1019677,21,0.75,0,6,,,,1
CUST1194,Male,23,Bangalore,Graduate,Single,126069,652,1518813,2,0.53,0,1,,,,0
CUST1195,Female,62,Mumbai,Post-Graduate,Divorced,206178,730,835301,28,0.41,6,6,,,,1
CUST1196,Male,32,Mumbai,Undergraduate,Single,155839,702,1159063,4,0.68,3,0,,,,1
CUST1197,Male,55,Mumbai,Graduate,Divorced,114425,535,569070,14,0.38,4,3,,,,0
CUST1198,Male,36,Mumbai,Post-Graduate,Divorced,69023,368,261595,19,0.13,9,10,,,,0
CUST1199,Male,35,Pune,Post-Graduate,Divorced,156494,522,1632061,27,0.72,2,8,,,,1
CUST1200,Male,36,Mumbai,Post-Graduate,Divorced,94105,446,1434565,16,0.28,4,4,6553 9120 1768,,,1
CUST1201,Male,62,Delhi,Undergraduate,Single,190988,690,1697951,16,0.35,6,6,,,,1
CUST1202,Male,36,Chennai,Diploma,Single,237649,530,680689,27,0.67,7,0,,,,1
CUST1203,Female,45,Mumbai,Post-Graduate,Married,78663,561,476428,10,0.62,7,5,,,,0
CUST1204,Male,25,Mumbai,Post-Graduate,Married,64325,872,505116,15,0.27,5,4,,,,1
CUST1205,Male,51,Pune,Diploma,Single,78594,509,881797,29,0.29,5,12,,,,1
CUST1206,Male,40,Bangalore,Undergraduate,Married,83566,668,1125454,28,0.5,1,12,,,,1
CUST1207,Male,23,Chennai,Diploma,Single,162462,526,1604518,4,0.11,8,9,,,,0
CUST1208,Male,35,Pune,Undergraduate,Single,114572,883,1797688,7,0.5,10,10,,,,1
CUST1209,Male,50,Chennai,Graduate,Divorced,59101,660,404975,4,0.68,7,2,,,,0
CUST1210,Male,63,Delhi,Graduate,Married,27717,306,914849,4,0.77,3,1,,,,0
CUST1211,Male,24,Bangalore,Graduate,Married,176961,794,1432619,15,0.11,8,8,,,,1
CUST1212,Male,55,Delhi,Graduate,Married,90153,317,1103223,26,0.66,6,12,,,,0
CUST1213,Female,33,Pune,Diploma,Single,177471,839,579359,26,0.38,6,1,,,,1
CUST1214,Female,40,Bangalore,Diploma,Single,194317,382,1420983,27,0.62,0,1,,,,0
CUST1215,Male,61,Pune,Graduate,Divorced,17477,475,223405,15,0.78,10,12,,,,0
CUST1216,Female,34,Pune,Graduate,Married,242571,880,1047196,8,0.14,1,10,,,,1
CUST1217,Male,22,Pune,Post-Graduate,Divorced,69305,447,1627591,26,0.67,6,1,,,,0
CUST1218,Male,64,Pune,Graduate,Married,156705,639,854983,24,0.69,1,8,,,,1
CUST1219,Male,42,Bangalore,Diploma,Married,173641,706,1672262,10,0.12,4,12,,,,1
CUST1220,Male,48,Delhi,Graduate,Married,63690,899,1435529,12,0.17,9,4,,,,1
CUST1221,Male,61,Bangalore,Undergraduate,Single,55442,698,714122,11,0.19,0,4,,,,1
CUST1222,Male,32,Mumbai,Undergraduate,Divorced,127978,759,1218082,17,0.51,1,0,,,,1
CUST1223,Male,45,Chennai,Post-Graduate,Divorced,18235,598,917822,12,0.72,8,3,,,,0
CUST1224,Female,38,Bangalore,Undergraduate,Single,93939,574,1084155,4,0.15,6,4,,,,0
CUST1225,Male,37,Pune,Graduate,Single,79642,807,1295302,19,0.26,1,2,,ABCDE7224F,,1
CUST1226,Male,49,Pune,Undergraduate,Divorced,102749,740,1760176,26,0.79,9,2,,,,1
CUST1227,Female,51,Chennai,Post-Graduate,Single,97361,481,885168,30,0.36,10,7,,,,0
CUST1228,Male,44,Chennai,Graduate,Divorced,44855,877,469011,18,0.9,2,10,,,,1
CUST1229,Female,49,Bangalore,Post-Graduate,Divorced,224108,598,1793324,22,0.16,6,10,,,,1
CUST1230,Male,63,Chennai,Diploma,Divorced,55407,733,1704813,12,0.16,9,7,,,,1
CUST1231,Male,55,Mumbai,Graduate,Married,24637,668,1521433,28,0.75,9,10,,,,1
CUST1232,Male,31,Pune,Diploma,Married,184607,345,1231158,20,0.64,6,12,,,,0
CUST1233,Male,35,Pune,Diploma,Single,148870,831,1220197,18,0.65,3,7,,,,1
CUST1234,Female,43,Delhi,Undergraduate,Single,21438,794,269255,9,0.43,1,1,,,,0
CUST1235,Female,54,Mumbai,Undergraduate,Married,141596,656,1048585,3,0.45,7,5,,,,1
CUST1236,Male,22,Delhi,Post-Graduate,Divorced,237607,651,1408891,3,0.64,2,11,,,,1
CUST1237,Male,50,Bangalore,Graduate,Divorced,75779,714,1370703,5,0.25,10,6,,,,1
CUST1238,Female,49,Mumbai,Graduate,Divorced,170242,739,865447,0,0.66,3,4,,,,0
CUST1239,Male,33,Pune,Diploma,Divorced,134944,416,600194,21,0.79,8,10,,,,0
CUST1240,Male,43,Chennai,Graduate,Divorced,107270,768,1344703,5,0.75,4,9,,,9226552991,0
CUST1241,Female,40,Chennai,Post-Graduate,Divorced,45657,487,832879,22,0.21,6,6,,,,0
CUST1242,Female,52,Delhi,Diploma,Single,181592,850,1504234,29,0.62,2,8,,,,1
CUST1243,Male,49,Delhi,Diploma,Divorced,177374,354,1865131,11,0.86,7,2,,,,0
CUST1244,Male,47,Mumbai,Graduate,Married,194489,803,921640,22,0.77,7,2,,,,1
CUST1245,Male,35,Chennai,Graduate,Divorced,155930,595,402759,24,0.47,7,8,,,,1
CUST1246,Male,55,Mumbai,Post-Graduate,Single,230642,342,1643844,23,0.45,3,6,,,,1
CUST1247,Male,49,Delhi,Post-Graduate,Divorced,83895,656,1858163,26,0.17,1,12,,,,1
CUST1248,Male,60,Mumbai,Undergraduate,Divorced,180877,738,398088,19,0.21,3,3,,,,1
CUST1249,Female,41,Mumbai,Post-Graduate,Single,199563,599,656775,18,0.31,8,10,,,,1
CUST1250,Male,62,Bangalore,Diploma,Married,48262,435,573611,4,0.67,3,12,4201 7786 7146,,,0
CUST1251,Male,25,Bangalore,Undergraduate,Divorced,181101,395,894839,16,0.7,5,7,,,,0
CUST1252,Male,50,Bangalore,Post-Graduate,Single,181419,666,1832802,2,0.74,6,3,,,,0
CUST1253,Male,42,Mumbai,Graduate,Married,158474,891,323875,18,0.78,5,10,,,,1
CUST1254,Male,22,Delhi,Undergraduate,Married,47568,461,975443,14,0.1,6,3,,,,1
CUST1255,Male,26,Mumbai,Diploma,Divorced,186596,669,575104,2,0.4,10,2,,,,1
CUST1256,Female,48,Delhi,Post-Graduate,Divorced,186831,393,1525761,3,0.1,7,1,,,,0
CUST1257,Male,21,Delhi,Diploma,Married,197346,651,1763601,3,0.89,6,11,,,,0
CUST1258,Male,27,Delhi,Post-Graduate,Married,42053,620,820832,28,0.34,6,12,,,,1
CUST1259,Male,60,Delhi,Diploma,Divorced,185398,468,972955,11,0.68,10,11,,,,1
CUST1260,Female,26,Bangalore,Undergraduate,Married,41336,443,1627992,3,0.57,6,5,,,,0
CUST1261,Male,36,Delhi,Post-Graduate,Divorced,160069,591,1683617,30,0.65,10,4,,,,1
CUST1262,Male,36,Chennai,Graduate,Single,144731,695,286440,7,0.5,9,1,,,,1
CUST1263,Female,45,Bangalore,Graduate,Married,240657,882,932614,11,0.54,2,12,,,,1
CUST1264,Male,37,Pune,Diploma,Single,71555,340,1984789,1,0.86,6,8,,,,0
CUST1265,Male,61,Chennai,Post-Graduate,Married,155657,850,1341944,4,0.32,4,1,,,,1
CUST1266,Male,58,Delhi,Graduate,Single,181276,367,700472,22,0.45,3,0,,,,0
CUST1267,Male,40,Bangalore,Undergraduate,Divorced,189608,479,300490,0,0.67,0,2,,,,0
CUST1268,Male,31,Mumbai,Undergraduate,Single,112483,429,1622395,24,0.8,1,12,,,,0
CUST1269,Male,37,Mumbai,Diploma,Divorced,201731,890,1366031,2,0.5,8,5,,,,1
CUST1270,Female,37,Chennai,Graduate,Married,217723,405,1925416,18,0.64,1,3,,,,0
CUST1271,Male,36,Chennai,Diploma,Married,27053,783,813314,12,0.84,2,0,,,,0
CUST1272,Male,41,Delhi,Post-Graduate,Divorced,86108,379,1248597,11,0.2,10,0,,,,1
CUST1273,Male,25,Mumbai,Diploma,Married,244897,776,1866201,9,0.72,4,5,,,,1
CUST1274,Male,57,Bangalore,Post-Graduate,Divorced,220653,611,1601003,19,0.29,5,9,,,,1
CUST1275,Female,30,Mumbai,Undergraduate,Married,16671,719,100143,7,0.53,10,11,,,,0
